data_name;real_onset;sign_changes_onset;AGLR_step_onset;two_step_onset
emg1-0;926.2992831541219;820;841;820
emg1-1;773.9695340501793;684;693;693
emg1-2;832.2132616487455;735;769;769
emg1-3;832.2132616487455;736;690;690
emg1-4;809.8118279569893;709;744;744
emg1-5;827.7329749103943;747;800;800
emg2-0;823.252688172043;737;774;774
emg2-1;706.7652329749105;675;709;709
emg2-2;747.0878136200718;694;739;739
emg2-3;733.6469534050179;718;718;718
emg2-4;688.8440860215054;640;696;696
emg2-5;702.2849462365592;650;704;704
emg5-0;751.5681003584227;722;797;797
emg5-1;729.1666666666666;699;743;743
emg5-2;778.4498207885301;732;797;797
emg5-3;778.4498207885301;693;751;751
emg5-4;787.4103942652328;684;734;734
emg5-5;729.1666666666666;666;742;743
emg6-0;1105.510752688172;1041;1106;1118
emg6-1;1002.4641577060934;942;1018;1018
emg6-2;944.2204301075267;949;957;956
emg6-3;1006.9444444444445;909;955;955
emg6-4;935.2598566308244;859;944;944
emg6-5;1015.9050179211469;952;1022;1022
emg7-0;1894.0412186379924;1984;1994;1934
emg7-1;1844.7580645161286;1838;1858;1847
emg7-2;1876.1200716845876;1833;1940;1929
emg7-3;1853.7186379928314;1832;1859;1851
emg7-4;1831.3172043010754;1838;1939;1939
emg7-5;1849.2383512544802;1831;1907;1907
emg9-0;1114.4713261648747;1335;1146;1227
emg9-1;1105.5107526881723;1343;1143;1246
emg9-2;1105.5107526881723;1733;1132;1468
emg9-3;1101.0304659498204;1342;1123;1168
emg9-4;1024.8655913978494;974;1043;1016
emg9-5;1042.7867383512541;1014;1064;1064
emg10-0;1204.0770609319;1272;1210;1210
emg10-1;1204.0770609319;1303;1255;1255
emg10-2;1204.0770609318995;1250;1194;1514
emg10-3;1199.596774193548;1265;1254;1254
emg10-4;1127.912186379928;1116;1135;1135
emg10-5;1159.274193548387;1113;1165;1165
emg12-0;514.1129032258066;425;533;533
emg12-1;478.27060931899643;433;466;466
emg12-2;518.5931899641577;427;506;506
emg12-3;509.63261648745527;492;456;456
emg12-4;514.1129032258065;414;306;442
emg12-5;509.63261648745527;459;503;503
emg13-0;1033.826164874552;1009;1037;1037
emg13-1;993.5035842293906;1063;994;995
emg13-2;1074.1487455197134;1025;1069;1081
emg13-3;1029.3458781362006;1257;1033;1134
emg13-4;997.9838709677418;933;838;838
emg13-5;984.5430107526882;895;981;981
emg15-1;740.0;809;739;1720
emg15-4;514.1129032258065;438;514;515
emg15-5;576.8369175627239;725;577;721
emg16-0;1118.9516129032259;1291;1174;1103
emg16-1;1150.3136200716845;1156;1162;1162
emg16-2;1150.3136200716845;3721;1168;3547
emg16-3;1150.3136200716845;1186;1163;1163
emg16-4;1168.2347670250897;1072;1098;1098
emg16-5;1132.3924731182797;1031;1130;1126
emg17-0;1280.2419354838712;1212;1283;1278
emg17-1;1284.7222222222222;1286;1286;1286
emg17-2;1284.7222222222222;1190;1282;1282
emg17-3;1284.7222222222222;1278;1284;1284
emg17-4;1342.9659498207886;1287;1287;1287
emg17-5;1334.005376344086;1262;1276;1276
emg18-0;1307.1236559139784;1197;1298;1298
emg18-1;1307.1236559139784;1239;1304;1304
emg18-2;1298.1630824372758;1198;1299;1299
emg18-3;1302.6433691756272;1302;1303;1303
emg18-4;1334.005376344086;1270;1340;1340
emg18-5;1334.005376344086;1252;1329;1329
emg20-0;3990.81541218638;3869;3942;3942
emg20-1;3968.4139784946237;3954;3969;3969
emg20-2;3986.3351254480285;3885;3941;3941
emg20-3;3977.3745519713266;3921;3942;3942
emg20-4;3914.650537634409;2194;1940;2146
emg20-5;3990.81541218638;2128;2076;2075
emg21-0;4404.875717017209;4396;4433;4433
emg21-1;4423.9961759082225;4386;4428;4428
emg21-2;4409.655831739962;4421;4497;4501
emg21-3;4428.776290630976;4387;4387;4295
emg21-4;4328.393881453155;4279;4382;4382
emg21-5;4299.713193116636;4290;4307;4308
emg22-0;4376.19502868069;4427;4385;4386
emg22-1;4361.854684512429;4349;4372;4372
emg22-2;4467.017208413003;4422;4384;4384
emg22-3;4433.556405353729;4360;4374;4374
